County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Culberson County,2257,33125.0,3.58,0.77,0.02,0.01,1.3,0.23,0.86,1.6,3.46
Culebra Municipio,1494,23355.0,6.13,0.52,0.0,0.0,2.8,0.11,1.71,1.82,3.88
Cullman County,81703,749759.0,0.09,2.04,0.02,0.01,0.36,0.14,0.62,0.32,1.95
Culpeper County,49795,556655.0,0.16,1.13,0.22,0.02,0.14,0.1,0.57,0.3,1.3
Cumberland County,1108310,12750999.0,0.19,1.5,0.32,0.05,0.31,0.15,0.74,0.39,1.65
Cuming County,9039,151031.0,0.26,2.99,0.0,0.01,0.24,0.08,1.08,0.43,2.63
Currituck County,25247,430859.0,0.09,2.46,0.13,0.01,0.25,0.14,0.79,0.52,2.28
Curry County,72660,765054.0,0.71,1.43,0.09,0.03,0.49,0.2,0.7,0.47,1.9
Custer County,69065,951239.0,0.2,2.37,0.04,0.02,0.37,0.08,0.89,0.49,2.1
Cuyahoga County,1257401,21676766.0,0.2,1.82,1.32,0.09,0.79,0.4,1.24,0.77,2.68
Dade County,23863,261553.0,0.05,2.36,0.01,0.02,0.48,0.15,0.71,0.48,1.93
Daggett County,702,85000.0,0.47,13.52,0.01,0.0,0.57,0.14,2.82,6.61,6.64
Dakota County,435184,8075772.0,0.18,1.78,0.13,0.11,0.17,0.09,0.94,0.36,1.85
Dale County,49393,639493.0,0.16,2.0,0.54,0.02,0.53,0.29,0.82,0.46,2.46
Dallam County,7207,98778.0,0.98,1.66,0.03,0.03,0.36,0.07,0.75,0.63,2.23
Dallas County,2697858,34609671.0,0.75,0.72,0.45,0.11,0.37,0.13,0.7,0.37,1.63
Dane County,522837,7248460.0,0.13,1.61,0.1,0.11,0.28,0.08,1.01,0.31,1.43
Daniels County,1788,53591.0,0.16,5.4,0.0,0.0,0.26,0.1,2.67,0.77,4.38
Danville city,41911,519618.0,0.16,1.53,1.75,0.03,0.82,0.37,1.03,0.77,2.84
Dare County,35412,505442.0,0.19,2.23,0.03,0.01,0.22,0.12,0.74,0.47,2.0
Darke County,51919,613499.0,0.03,2.23,0.02,0.01,0.27,0.12,0.57,0.35,1.95
Darlington County,67572,595068.0,0.04,1.26,1.01,0.01,0.56,0.31,0.73,0.44,1.98
Dauphin County,273329,3622516.0,0.21,1.53,0.48,0.09,0.35,0.15,0.86,0.46,1.82
Davidson County,842440,10721815.0,0.21,1.38,0.57,0.07,0.4,0.14,0.85,0.4,1.81
Davie County,41766,369401.0,0.11,1.41,0.12,0.01,0.23,0.11,0.53,0.28,1.36
Daviess County,140335,1608412.0,0.08,2.03,0.1,0.03,0.35,0.14,0.65,0.4,1.92
Davis County,343811,4328513.0,0.15,1.37,0.02,0.03,0.12,0.06,0.66,0.23,1.29
Davison County,19753,201070.0,0.05,1.86,0.01,0.0,0.25,0.07,0.68,0.29,1.66
